[SENT] Clock: 3 | To: localhost:50051
[RECEIVED] Clock: 5 | From: 0
[SENT] Clock: 4 | To: localhost:50050
[RECEIVED] Clock: 9 | From: 2
[RECEIVED] Clock: 10 | From: 0
[SENT] Clock: 5 | To: localhost:50050
[RECEIVED] Clock: 11 | From: 1
[RECEIVED] Clock: 12 | From: 1
[SENT] Clock: 6 | To: localhost:50052
[SENT] Clock: 7 | To: localhost:50051
[RECEIVED] Clock: 15 | From: 2
[RECEIVED] Clock: 17 | From: 1
[RECEIVED] Clock: 19 | From: 2
[RECEIVED] Clock: 20 | From: 1
[RECEIVED] Clock: 21 | From: 0
[SENT] Clock: 15 | To: localhost:50050
[SENT] Clock: 16 | To: localhost:50051
[RECEIVED] Clock: 38 | From: 1
[RECEIVED] Clock: 39 | From: 2
[SENT] Clock: 24 | To: localhost:50052
[RECEIVED] Clock: 50 | From: 1
[RECEIVED] Clock: 54 | From: 1
[RECEIVED] Clock: 55 | From: 0
[SENT] Clock: 27 | To: localhost:50050
[RECEIVED] Clock: 57 | From: 1
[RECEIVED] Clock: 58 | From: 2
[SENT] Clock: 30 | To: localhost:50052
[RECEIVED] Clock: 62 | From: 2
[SENT] Clock: 32 | To: localhost:50051
[SENT] Clock: 33 | To: localhost:50051
[RECEIVED] Clock: 70 | From: 1
[RECEIVED] Clock: 73 | From: 1
[RECEIVED] Clock: 74 | From: 1
[SENT] Clock: 40 | To: localhost:50052
[RECEIVED] Clock: 81 | From: 1
[SENT] Clock: 44 | To: localhost:50052
[SENT] Clock: 45 | To: localhost:50051
[RECEIVED] Clock: 92 | From: 1
[RECEIVED] Clock: 94 | From: 1
[SENT] Clock: 49 | To: localhost:50052
[RECEIVED] Clock: 100 | From: 1
[SENT] Clock: 51 | To: localhost:50051
[RECEIVED] Clock: 107 | From: 2
[RECEIVED] Clock: 109 | From: 2
[SENT] Clock: 55 | To: localhost:50051
[RECEIVED] Clock: 110 | From: 0
[SENT] Clock: 56 | To: localhost:50050
[RECEIVED] Clock: 115 | From: 2
[RECEIVED] Clock: 116 | From: 0
[SENT] Clock: 61 | To: localhost:50050
[SENT] Clock: 63 | To: localhost:50052
[RECEIVED] Clock: 126 | From: 2
[RECEIVED] Clock: 128 | From: 2
[SENT] Clock: 64 | To: localhost:50052
[RECEIVED] Clock: 137 | From: 2
[RECEIVED] Clock: 139 | From: 1
[RECEIVED] Clock: 143 | From: 2
[RECEIVED] Clock: 145 | From: 2
[RECEIVED] Clock: 146 | From: 1
[RECEIVED] Clock: 147 | From: 2
[SENT] Clock: 78 | To: localhost:50051
[RECEIVED] Clock: 152 | From: 1
[SENT] Clock: 79 | To: localhost:50051
[RECEIVED] Clock: 156 | From: 2
[SENT] Clock: 83 | To: localhost:50052
[RECEIVED] Clock: 163 | From: 1
[SENT] Clock: 85 | To: localhost:50052
[RECEIVED] Clock: 165 | From: 1
[SENT] Clock: 86 | To: localhost:50051
[RECEIVED] Clock: 172 | From: 1
[RECEIVED] Clock: 173 | From: 2
[RECEIVED] Clock: 175 | From: 1
[RECEIVED] Clock: 176 | From: 0
[SENT] Clock: 91 | To: localhost:50050
[SENT] Clock: 92 | To: localhost:50051
[RECEIVED] Clock: 181 | From: 1
[SENT] Clock: 94 | To: localhost:50051
[RECEIVED] Clock: 183 | From: 2
[SENT] Clock: 95 | To: localhost:50052
[RECEIVED] Clock: 184 | From: 0
[SENT] Clock: 98 | To: localhost:50050
[RECEIVED] Clock: 190 | From: 2
[RECEIVED] Clock: 191 | From: 1
[RECEIVED] Clock: 192 | From: 1
[RECEIVED] Clock: 193 | From: 0
[SENT] Clock: 100 | To: localhost:50050
[RECEIVED] Clock: 194 | From: 0
[SENT] Clock: 103 | To: localhost:50050
[RECEIVED] Clock: 203 | From: 1
[RECEIVED] Clock: 205 | From: 2
[RECEIVED] Clock: 206 | From: 1
[RECEIVED] Clock: 207 | From: 1
[RECEIVED] Clock: 208 | From: 0
[SENT] Clock: 107 | To: localhost:50050
