[RECEIVED] Clock: 3 | From: 2
[SENT] Clock: 2 | To: localhost:50052
[RECEIVED] Clock: 4 | From: 2
[SENT] Clock: 3 | To: localhost:50052
[RECEIVED] Clock: 8 | From: 2
[SENT] Clock: 7 | To: localhost:50052
[SENT] Clock: 8 | To: localhost:50050
[RECEIVED] Clock: 11 | From: 2
[SENT] Clock: 10 | To: localhost:50052
[RECEIVED] Clock: 12 | From: 0
[RECEIVED] Clock: 13 | From: 1
[RECEIVED] Clock: 14 | From: 2
[SENT] Clock: 13 | To: localhost:50052
[SENT] Clock: 14 | To: localhost:50050
[SENT] Clock: 18 | To: localhost:50050
[RECEIVED] Clock: 22 | From: 1
[SENT] Clock: 26 | To: localhost:50051
[RECEIVED] Clock: 28 | From: 1
[RECEIVED] Clock: 29 | From: 2
[SENT] Clock: 28 | To: localhost:50052
[RECEIVED] Clock: 31 | From: 2
[SENT] Clock: 30 | To: localhost:50052
[RECEIVED] Clock: 33 | From: 2
[SENT] Clock: 32 | To: localhost:50052
[RECEIVED] Clock: 38 | From: 2
[SENT] Clock: 37 | To: localhost:50052
[SENT] Clock: 38 | To: localhost:50050
[SENT] Clock: 44 | To: localhost:50051
[SENT] Clock: 46 | To: localhost:50051
[RECEIVED] Clock: 39 | From: 0
[RECEIVED] Clock: 49 | From: 1
[RECEIVED] Clock: 50 | From: 2
[SENT] Clock: 48 | To: localhost:50052
[SENT] Clock: 49 | To: localhost:50051
[SENT] Clock: 57 | To: localhost:50050
[RECEIVED] Clock: 51 | From: 0
[RECEIVED] Clock: 62 | From: 1
[SENT] Clock: 61 | To: localhost:50050
[RECEIVED] Clock: 69 | From: 1
[SENT] Clock: 68 | To: localhost:50051
[RECEIVED] Clock: 76 | From: 1
[RECEIVED] Clock: 77 | From: 2
[SENT] Clock: 76 | To: localhost:50052
[RECEIVED] Clock: 78 | From: 0
[SENT] Clock: 79 | To: localhost:50051
[RECEIVED] Clock: 80 | From: 1
[SENT] Clock: 85 | To: localhost:50051
[RECEIVED] Clock: 81 | From: 0
[SENT] Clock: 88 | To: localhost:50051
[RECEIVED] Clock: 82 | From: 0
[SENT] Clock: 98 | To: localhost:50051
[RECEIVED] Clock: 101 | From: 2
[SENT] Clock: 100 | To: localhost:50052
[RECEIVED] Clock: 103 | From: 1
[SENT] Clock: 106 | To: localhost:50050
[SENT] Clock: 108 | To: localhost:50050
[SENT] Clock: 109 | To: localhost:50051
[SENT] Clock: 110 | To: localhost:50051
[RECEIVED] Clock: 114 | From: 2
[SENT] Clock: 113 | To: localhost:50052
[SENT] Clock: 114 | To: localhost:50050
[RECEIVED] Clock: 119 | From: 1
[RECEIVED] Clock: 120 | From: 1
[SENT] Clock: 120 | To: localhost:50051
[RECEIVED] Clock: 121 | From: 0
[SENT] Clock: 125 | To: localhost:50050
[SENT] Clock: 127 | To: localhost:50050
[RECEIVED] Clock: 122 | From: 0
[RECEIVED] Clock: 129 | From: 2
[SENT] Clock: 128 | To: localhost:50052
[SENT] Clock: 136 | To: localhost:50050
[SENT] Clock: 138 | To: localhost:50051
[SENT] Clock: 142 | To: localhost:50050
[SENT] Clock: 144 | To: localhost:50050
[SENT] Clock: 146 | To: localhost:50050
[RECEIVED] Clock: 150 | From: 2
[SENT] Clock: 149 | To: localhost:50052
[RECEIVED] Clock: 155 | From: 1
[SENT] Clock: 155 | To: localhost:50050
[RECEIVED] Clock: 160 | From: 1
[RECEIVED] Clock: 161 | From: 0
[RECEIVED] Clock: 162 | From: 2
[SENT] Clock: 161 | To: localhost:50052
[SENT] Clock: 163 | To: localhost:50051
[RECEIVED] Clock: 163 | From: 0
[RECEIVED] Clock: 165 | From: 2
[SENT] Clock: 164 | To: localhost:50052
[SENT] Clock: 166 | To: localhost:50051
[RECEIVED] Clock: 168 | From: 2
[SENT] Clock: 167 | To: localhost:50052
[SENT] Clock: 170 | To: localhost:50051
[SENT] Clock: 172 | To: localhost:50050
[SENT] Clock: 175 | To: localhost:50051
[SENT] Clock: 176 | To: localhost:50051
[RECEIVED] Clock: 178 | From: 2
[SENT] Clock: 177 | To: localhost:50052
[SENT] Clock: 182 | To: localhost:50050
[RECEIVED] Clock: 179 | From: 0
[SENT] Clock: 184 | To: localhost:50051
[RECEIVED] Clock: 187 | From: 2
[SENT] Clock: 186 | To: localhost:50052
[SENT] Clock: 188 | To: localhost:50051
[RECEIVED] Clock: 188 | From: 1
[SENT] Clock: 189 | To: localhost:50050
[RECEIVED] Clock: 191 | From: 2
[SENT] Clock: 190 | To: localhost:50052
[SENT] Clock: 191 | To: localhost:50051
[RECEIVED] Clock: 193 | From: 2
[SENT] Clock: 192 | To: localhost:50052
[RECEIVED] Clock: 194 | From: 2
[SENT] Clock: 193 | To: localhost:50052
[RECEIVED] Clock: 195 | From: 1
[RECEIVED] Clock: 198 | From: 2
[SENT] Clock: 197 | To: localhost:50052
[RECEIVED] Clock: 200 | From: 2
[SENT] Clock: 199 | To: localhost:50052
[RECEIVED] Clock: 203 | From: 2
[SENT] Clock: 202 | To: localhost:50052
[SENT] Clock: 203 | To: localhost:50051
[SENT] Clock: 204 | To: localhost:50050
[SENT] Clock: 207 | To: localhost:50051
[SENT] Clock: 210 | To: localhost:50051
[SENT] Clock: 212 | To: localhost:50051
[SENT] Clock: 217 | To: localhost:50051
[RECEIVED] Clock: 220 | From: 1
[RECEIVED] Clock: 221 | From: 2
[SENT] Clock: 220 | To: localhost:50052
[SENT] Clock: 221 | To: localhost:50051
[SENT] Clock: 222 | To: localhost:50051
[RECEIVED] Clock: 224 | From: 2
[SENT] Clock: 223 | To: localhost:50052
[RECEIVED] Clock: 226 | From: 1
[SENT] Clock: 226 | To: localhost:50050
[RECEIVED] Clock: 228 | From: 2
[SENT] Clock: 227 | To: localhost:50052
[RECEIVED] Clock: 229 | From: 0
[SENT] Clock: 230 | To: localhost:50051
[SENT] Clock: 232 | To: localhost:50051
[SENT] Clock: 235 | To: localhost:50050
[SENT] Clock: 236 | To: localhost:50050
[RECEIVED] Clock: 238 | From: 1
[SENT] Clock: 244 | To: localhost:50051
[SENT] Clock: 246 | To: localhost:50050
[RECEIVED] Clock: 248 | From: 2
[SENT] Clock: 247 | To: localhost:50052
[SENT] Clock: 248 | To: localhost:50050
[SENT] Clock: 252 | To: localhost:50051
[RECEIVED] Clock: 254 | From: 2
[SENT] Clock: 253 | To: localhost:50052
[RECEIVED] Clock: 261 | From: 2
[SENT] Clock: 260 | To: localhost:50052
[SENT] Clock: 261 | To: localhost:50051
[RECEIVED] Clock: 264 | From: 1
[RECEIVED] Clock: 266 | From: 1
[SENT] Clock: 266 | To: localhost:50050
[RECEIVED] Clock: 267 | From: 0
[RECEIVED] Clock: 270 | From: 2
[SENT] Clock: 269 | To: localhost:50052
[RECEIVED] Clock: 271 | From: 0
[SENT] Clock: 272 | To: localhost:50051
[RECEIVED] Clock: 272 | From: 0
[RECEIVED] Clock: 274 | From: 2
[SENT] Clock: 273 | To: localhost:50052
[RECEIVED] Clock: 279 | From: 1
[SENT] Clock: 281 | To: localhost:50050
[RECEIVED] Clock: 283 | From: 2
[SENT] Clock: 282 | To: localhost:50052
[SENT] Clock: 283 | To: localhost:50050
