timestamp,operation,logical_clock,queue_length
2025-03-04 01:20:20,SENT,0,0
2025-03-04 01:20:21,INTERNAL,2,0
2025-03-04 01:20:22,SENT,2,0
2025-03-04 01:20:22,SENT,2,0
2025-03-04 01:20:23,RECEIVED,4,0
2025-03-04 01:20:24,INTERNAL,5,0
2025-03-04 01:20:25,INTERNAL,6,0
2025-03-04 01:20:26,SENT,6,0
2025-03-04 01:20:27,RECEIVED,18,1
2025-03-04 01:20:28,RECEIVED,19,1
2025-03-04 01:20:29,RECEIVED,23,3
2025-03-04 01:20:30,RECEIVED,24,4
2025-03-04 01:20:31,RECEIVED,25,4
2025-03-04 01:20:32,RECEIVED,26,3
2025-03-04 01:20:33,RECEIVED,27,2
2025-03-04 01:20:35,RECEIVED,28,3
2025-03-04 01:20:36,RECEIVED,30,3
2025-03-04 01:20:37,RECEIVED,39,2
2025-03-04 01:20:38,RECEIVED,40,1
2025-03-04 01:20:39,RECEIVED,41,0
2025-03-04 01:20:40,RECEIVED,53,0
2025-03-04 01:20:41,RECEIVED,54,1
2025-03-04 01:20:42,RECEIVED,55,0
2025-03-04 01:20:43,INTERNAL,56,0
2025-03-04 01:20:44,RECEIVED,64,1
2025-03-04 01:20:45,RECEIVED,65,1
2025-03-04 01:20:46,RECEIVED,67,1
2025-03-04 01:20:47,RECEIVED,70,1
2025-03-04 01:20:48,RECEIVED,71,0
2025-03-04 01:20:49,INTERNAL,72,0
2025-03-04 01:20:50,RECEIVED,78,1
2025-03-04 01:20:51,RECEIVED,80,0
2025-03-04 01:20:52,INTERNAL,81,0
2025-03-04 01:20:53,RECEIVED,89,0
2025-03-04 01:20:54,INTERNAL,90,0
2025-03-04 01:20:55,RECEIVED,95,1
2025-03-04 01:20:56,RECEIVED,96,1
2025-03-04 01:20:57,RECEIVED,97,3
2025-03-04 01:20:59,RECEIVED,98,5
2025-03-04 01:21:00,RECEIVED,99,4
2025-03-04 01:21:01,RECEIVED,100,3
2025-03-04 01:21:02,RECEIVED,101,5
2025-03-04 01:21:03,RECEIVED,102,7
2025-03-04 01:21:04,RECEIVED,103,8
2025-03-04 01:21:05,RECEIVED,109,8
2025-03-04 01:21:06,RECEIVED,110,7
2025-03-04 01:21:07,RECEIVED,111,6
2025-03-04 01:21:08,RECEIVED,112,5
2025-03-04 01:21:09,RECEIVED,113,4
2025-03-04 01:21:10,RECEIVED,114,3
2025-03-04 01:21:11,RECEIVED,116,3
2025-03-04 01:21:12,RECEIVED,117,3
2025-03-04 01:21:13,RECEIVED,118,5
2025-03-04 01:21:14,RECEIVED,136,4
2025-03-04 01:21:15,RECEIVED,138,6
2025-03-04 01:21:16,RECEIVED,139,7
2025-03-04 01:21:17,RECEIVED,141,8
