2025-03-04 01:21:24 - [INIT] with clock rate 1 and peers ['localhost:50050', 'localhost:50051'], [0, 1]
2025-03-04 01:21:26 - [INTERNAL], Logical clock: 1
2025-03-04 01:21:27 - [RECEIVED] from Machine 1, Logical clock: 2, Queue length: 1
2025-03-04 01:21:28 - [RECEIVED] from Machine 1, Logical clock: 3, Queue length: 1
2025-03-04 01:21:29 - [RECEIVED] from Machine 1, Logical clock: 4, Queue length: 4
2025-03-04 01:21:30 - [RECEIVED] from Machine 1, Logical clock: 5, Queue length: 3
2025-03-04 01:21:31 - [RECEIVED] from Machine 0, Logical clock: 6, Queue length: 5
2025-03-04 01:21:32 - [RECEIVED] from Machine 0, Logical clock: 7, Queue length: 6
2025-03-04 01:21:33 - [RECEIVED] from Machine 0, Logical clock: 8, Queue length: 6
2025-03-04 01:21:34 - [RECEIVED] from Machine 1, Logical clock: 9, Queue length: 7
2025-03-04 01:21:35 - [RECEIVED] from Machine 1, Logical clock: 10, Queue length: 7
2025-03-04 01:21:36 - [RECEIVED] from Machine 1, Logical clock: 11, Queue length: 6
2025-03-04 01:21:37 - [RECEIVED] from Machine 1, Logical clock: 12, Queue length: 8
2025-03-04 01:21:38 - [RECEIVED] from Machine 1, Logical clock: 13, Queue length: 11
2025-03-04 01:21:39 - [RECEIVED] from Machine 1, Logical clock: 14, Queue length: 10
2025-03-04 01:21:40 - [RECEIVED] from Machine 0, Logical clock: 16, Queue length: 9
2025-03-04 01:21:41 - [RECEIVED] from Machine 0, Logical clock: 17, Queue length: 8
2025-03-04 01:21:42 - [RECEIVED] from Machine 0, Logical clock: 18, Queue length: 9
2025-03-04 01:21:43 - [RECEIVED] from Machine 0, Logical clock: 21, Queue length: 9
2025-03-04 01:21:44 - [RECEIVED] from Machine 0, Logical clock: 22, Queue length: 10
2025-03-04 01:21:45 - [RECEIVED] from Machine 1, Logical clock: 23, Queue length: 9
2025-03-04 01:21:46 - [RECEIVED] from Machine 1, Logical clock: 24, Queue length: 8
2025-03-04 01:21:47 - [RECEIVED] from Machine 0, Logical clock: 25, Queue length: 8
2025-03-04 01:21:48 - [RECEIVED] from Machine 0, Logical clock: 26, Queue length: 8
2025-03-04 01:21:49 - [RECEIVED] from Machine 0, Logical clock: 27, Queue length: 9
2025-03-04 01:21:50 - [RECEIVED] from Machine 0, Logical clock: 31, Queue length: 10
2025-03-04 01:21:51 - [RECEIVED] from Machine 0, Logical clock: 32, Queue length: 12
2025-03-04 01:21:53 - [RECEIVED] from Machine 1, Logical clock: 33, Queue length: 11
2025-03-04 01:21:54 - [RECEIVED] from Machine 1, Logical clock: 34, Queue length: 11
2025-03-04 01:21:55 - [RECEIVED] from Machine 1, Logical clock: 35, Queue length: 10
2025-03-04 01:21:56 - [RECEIVED] from Machine 1, Logical clock: 40, Queue length: 9
2025-03-04 01:21:57 - [RECEIVED] from Machine 0, Logical clock: 42, Queue length: 10
2025-03-04 01:21:58 - [RECEIVED] from Machine 0, Logical clock: 43, Queue length: 12
2025-03-04 01:21:59 - [RECEIVED] from Machine 0, Logical clock: 44, Queue length: 12
2025-03-04 01:22:00 - [RECEIVED] from Machine 0, Logical clock: 46, Queue length: 12
2025-03-04 01:22:01 - [RECEIVED] from Machine 0, Logical clock: 47, Queue length: 14
2025-03-04 01:22:02 - [RECEIVED] from Machine 0, Logical clock: 48, Queue length: 13
2025-03-04 01:22:03 - [RECEIVED] from Machine 1, Logical clock: 49, Queue length: 12
2025-03-04 01:22:04 - [RECEIVED] from Machine 1, Logical clock: 50, Queue length: 12
2025-03-04 01:22:05 - [RECEIVED] from Machine 0, Logical clock: 51, Queue length: 12
2025-03-04 01:22:06 - [RECEIVED] from Machine 1, Logical clock: 57, Queue length: 11
2025-03-04 01:22:07 - [RECEIVED] from Machine 0, Logical clock: 58, Queue length: 10
2025-03-04 01:22:08 - [RECEIVED] from Machine 0, Logical clock: 59, Queue length: 12
2025-03-04 01:22:09 - [RECEIVED] from Machine 0, Logical clock: 60, Queue length: 11
2025-03-04 01:22:10 - [RECEIVED] from Machine 0, Logical clock: 61, Queue length: 12
2025-03-04 01:22:11 - [RECEIVED] from Machine 1, Logical clock: 62, Queue length: 13
2025-03-04 01:22:12 - [RECEIVED] from Machine 1, Logical clock: 64, Queue length: 16
2025-03-04 01:22:13 - [RECEIVED] from Machine 1, Logical clock: 65, Queue length: 16
2025-03-04 01:22:14 - [RECEIVED] from Machine 1, Logical clock: 66, Queue length: 17
2025-03-04 01:22:15 - [RECEIVED] from Machine 0, Logical clock: 67, Queue length: 17
2025-03-04 01:22:16 - [RECEIVED] from Machine 1, Logical clock: 71, Queue length: 17
2025-03-04 01:22:17 - [RECEIVED] from Machine 1, Logical clock: 73, Queue length: 18
2025-03-04 01:22:18 - [RECEIVED] from Machine 0, Logical clock: 78, Queue length: 18
2025-03-04 01:22:20 - [RECEIVED] from Machine 0, Logical clock: 79, Queue length: 17
2025-03-04 01:22:21 - [RECEIVED] from Machine 0, Logical clock: 80, Queue length: 18
2025-03-04 01:22:22 - [RECEIVED] from Machine 0, Logical clock: 82, Queue length: 19
2025-03-04 01:22:23 - [RECEIVED] from Machine 0, Logical clock: 83, Queue length: 20
2025-03-04 01:22:24 - [RECEIVED] from Machine 0, Logical clock: 85, Queue length: 19
