2025-03-05 13:34:11 - [INIT] with clock rate 1 and peers ['localhost:50051', 'localhost:50052'], [1, 2]
2025-03-05 13:34:13 - [SENT] to Machine 1, Logical clock: 0
2025-03-05 13:34:13 - [SENT] to Machine 2, Logical clock: 0
2025-03-05 13:34:14 - [RECEIVED] from Machine 2, Logical clock: 2, Queue length: 2
2025-03-05 13:34:15 - [RECEIVED] from Machine 2, Logical clock: 3, Queue length: 1
2025-03-05 13:34:16 - [RECEIVED] from Machine 2, Logical clock: 4, Queue length: 0
2025-03-05 13:34:17 - [SENT] to Machine 1, Logical clock: 4
2025-03-05 13:34:17 - [SENT] to Machine 2, Logical clock: 4
2025-03-05 13:34:18 - [RECEIVED] from Machine 1, Logical clock: 6, Queue length: 0
2025-03-05 13:34:19 - [SENT] to Machine 1, Logical clock: 6
2025-03-05 13:34:20 - [SENT] to Machine 2, Logical clock: 6
2025-03-05 13:34:20 - [SENT] to Machine 1, Logical clock: 7
2025-03-05 13:34:20 - [SENT] to Machine 2, Logical clock: 7
2025-03-05 13:34:21 - [SENT] to Machine 1, Logical clock: 8
2025-03-05 13:34:21 - [SENT] to Machine 2, Logical clock: 8
2025-03-05 13:34:22 - [SENT] to Machine 1, Logical clock: 9
2025-03-05 13:34:23 - [SENT] to Machine 2, Logical clock: 9
2025-03-05 13:34:24 - [SENT] to Machine 1, Logical clock: 10
2025-03-05 13:34:24 - [SENT] to Machine 2, Logical clock: 10
2025-03-05 13:34:24 - [SENT] to Machine 1, Logical clock: 11
2025-03-05 13:34:25 - [SENT] to Machine 2, Logical clock: 11
2025-03-05 13:34:26 - [SENT] to Machine 1, Logical clock: 12
2025-03-05 13:34:26 - [SENT] to Machine 2, Logical clock: 12
2025-03-05 13:34:26 - [SENT] to Machine 1, Logical clock: 13
2025-03-05 13:34:27 - [SENT] to Machine 2, Logical clock: 13
2025-03-05 13:34:27 - [SENT] to Machine 1, Logical clock: 14
2025-03-05 13:34:28 - [SENT] to Machine 2, Logical clock: 14
2025-03-05 13:34:29 - [SENT] to Machine 1, Logical clock: 15
2025-03-05 13:34:29 - [SENT] to Machine 2, Logical clock: 15
2025-03-05 13:34:30 - [SENT] to Machine 1, Logical clock: 16
2025-03-05 13:34:30 - [SENT] to Machine 2, Logical clock: 16
2025-03-05 13:34:31 - [SENT] to Machine 1, Logical clock: 17
2025-03-05 13:34:31 - [SENT] to Machine 2, Logical clock: 17
2025-03-05 13:34:32 - [SENT] to Machine 1, Logical clock: 18
2025-03-05 13:34:32 - [SENT] to Machine 2, Logical clock: 18
2025-03-05 13:34:32 - [INTERNAL], Logical clock: 20
2025-03-05 13:34:34 - [SENT] to Machine 1, Logical clock: 20
2025-03-05 13:34:34 - [SENT] to Machine 2, Logical clock: 20
2025-03-05 13:34:35 - [SENT] to Machine 1, Logical clock: 21
2025-03-05 13:34:35 - [SENT] to Machine 2, Logical clock: 21
2025-03-05 13:34:36 - [SENT] to Machine 1, Logical clock: 22
2025-03-05 13:34:36 - [SENT] to Machine 2, Logical clock: 22
2025-03-05 13:34:37 - [SENT] to Machine 1, Logical clock: 23
2025-03-05 13:34:37 - [SENT] to Machine 2, Logical clock: 23
2025-03-05 13:34:38 - [SENT] to Machine 1, Logical clock: 24
2025-03-05 13:34:38 - [SENT] to Machine 2, Logical clock: 24
2025-03-05 13:34:39 - [SENT] to Machine 1, Logical clock: 25
2025-03-05 13:34:39 - [SENT] to Machine 2, Logical clock: 25
2025-03-05 13:34:40 - [SENT] to Machine 1, Logical clock: 26
2025-03-05 13:34:40 - [SENT] to Machine 2, Logical clock: 26
2025-03-05 13:34:41 - [SENT] to Machine 1, Logical clock: 27
2025-03-05 13:34:41 - [SENT] to Machine 2, Logical clock: 27
2025-03-05 13:34:42 - [SENT] to Machine 1, Logical clock: 28
2025-03-05 13:34:42 - [SENT] to Machine 2, Logical clock: 28
2025-03-05 13:34:43 - [INTERNAL], Logical clock: 30
2025-03-05 13:34:44 - [SENT] to Machine 1, Logical clock: 30
2025-03-05 13:34:45 - [SENT] to Machine 2, Logical clock: 30
2025-03-05 13:34:45 - [INTERNAL], Logical clock: 32
2025-03-05 13:34:46 - [SENT] to Machine 1, Logical clock: 32
2025-03-05 13:34:46 - [SENT] to Machine 2, Logical clock: 32
2025-03-05 13:34:47 - [INTERNAL], Logical clock: 34
2025-03-05 13:34:48 - [SENT] to Machine 1, Logical clock: 34
2025-03-05 13:34:49 - [SENT] to Machine 2, Logical clock: 34
2025-03-05 13:34:49 - [INTERNAL], Logical clock: 36
2025-03-05 13:34:50 - [SENT] to Machine 1, Logical clock: 36
2025-03-05 13:34:51 - [SENT] to Machine 2, Logical clock: 36
2025-03-05 13:34:52 - [SENT] to Machine 1, Logical clock: 37
2025-03-05 13:34:52 - [SENT] to Machine 2, Logical clock: 37
2025-03-05 13:34:53 - [SENT] to Machine 1, Logical clock: 38
2025-03-05 13:34:53 - [SENT] to Machine 2, Logical clock: 38
2025-03-05 13:34:54 - [SENT] to Machine 1, Logical clock: 39
2025-03-05 13:34:54 - [SENT] to Machine 2, Logical clock: 39
2025-03-05 13:34:54 - [INTERNAL], Logical clock: 41
2025-03-05 13:34:56 - [SENT] to Machine 1, Logical clock: 41
2025-03-05 13:34:56 - [SENT] to Machine 2, Logical clock: 41
2025-03-05 13:34:57 - [SENT] to Machine 1, Logical clock: 42
2025-03-05 13:34:57 - [SENT] to Machine 2, Logical clock: 42
2025-03-05 13:34:58 - [SENT] to Machine 1, Logical clock: 43
2025-03-05 13:34:58 - [SENT] to Machine 2, Logical clock: 43
2025-03-05 13:34:59 - [SENT] to Machine 1, Logical clock: 44
