2025-03-05 13:34:11 - [INIT] with clock rate 1 and peers ['localhost:50050', 'localhost:50051'], [0, 1]
2025-03-05 13:34:13 - [SENT] to Machine 0, Logical clock: 0
2025-03-05 13:34:13 - [SENT] to Machine 1, Logical clock: 0
2025-03-05 13:34:14 - [RECEIVED] from Machine 0, Logical clock: 2, Queue length: 1
2025-03-05 13:34:15 - [RECEIVED] from Machine 0, Logical clock: 3, Queue length: 0
2025-03-05 13:34:16 - [INTERNAL], Logical clock: 4
2025-03-05 13:34:17 - [INTERNAL], Logical clock: 5
2025-03-05 13:34:18 - [RECEIVED] from Machine 1, Logical clock: 6, Queue length: 4
2025-03-05 13:34:19 - [RECEIVED] from Machine 1, Logical clock: 7, Queue length: 3
2025-03-05 13:34:20 - [RECEIVED] from Machine 0, Logical clock: 8, Queue length: 3
2025-03-05 13:34:21 - [RECEIVED] from Machine 0, Logical clock: 9, Queue length: 4
2025-03-05 13:34:22 - [RECEIVED] from Machine 1, Logical clock: 10, Queue length: 6
2025-03-05 13:34:23 - [RECEIVED] from Machine 0, Logical clock: 11, Queue length: 7
2025-03-05 13:34:24 - [RECEIVED] from Machine 0, Logical clock: 12, Queue length: 9
2025-03-05 13:34:25 - [RECEIVED] from Machine 0, Logical clock: 13, Queue length: 10
2025-03-05 13:34:26 - [RECEIVED] from Machine 0, Logical clock: 14, Queue length: 12
2025-03-05 13:34:27 - [RECEIVED] from Machine 0, Logical clock: 15, Queue length: 14
2025-03-05 13:34:28 - [RECEIVED] from Machine 0, Logical clock: 16, Queue length: 15
2025-03-05 13:34:29 - [RECEIVED] from Machine 0, Logical clock: 17, Queue length: 15
2025-03-05 13:34:30 - [RECEIVED] from Machine 0, Logical clock: 18, Queue length: 15
2025-03-05 13:34:31 - [RECEIVED] from Machine 0, Logical clock: 19, Queue length: 16
2025-03-05 13:34:32 - [RECEIVED] from Machine 0, Logical clock: 20, Queue length: 17
2025-03-05 13:34:33 - [RECEIVED] from Machine 0, Logical clock: 21, Queue length: 16
2025-03-05 13:34:35 - [RECEIVED] from Machine 0, Logical clock: 22, Queue length: 18
2025-03-05 13:34:36 - [RECEIVED] from Machine 0, Logical clock: 23, Queue length: 20
2025-03-05 13:34:37 - [RECEIVED] from Machine 0, Logical clock: 24, Queue length: 21
2025-03-05 13:34:38 - [RECEIVED] from Machine 0, Logical clock: 25, Queue length: 21
2025-03-05 13:34:39 - [RECEIVED] from Machine 0, Logical clock: 26, Queue length: 22
2025-03-05 13:34:40 - [RECEIVED] from Machine 0, Logical clock: 27, Queue length: 23
2025-03-05 13:34:41 - [RECEIVED] from Machine 0, Logical clock: 28, Queue length: 24
2025-03-05 13:34:42 - [RECEIVED] from Machine 0, Logical clock: 29, Queue length: 25
2025-03-05 13:34:43 - [RECEIVED] from Machine 0, Logical clock: 30, Queue length: 25
2025-03-05 13:34:44 - [RECEIVED] from Machine 0, Logical clock: 31, Queue length: 24
2025-03-05 13:34:45 - [RECEIVED] from Machine 0, Logical clock: 32, Queue length: 25
2025-03-05 13:34:46 - [RECEIVED] from Machine 0, Logical clock: 33, Queue length: 24
2025-03-05 13:34:47 - [RECEIVED] from Machine 0, Logical clock: 34, Queue length: 24
2025-03-05 13:34:48 - [RECEIVED] from Machine 0, Logical clock: 35, Queue length: 23
2025-03-05 13:34:49 - [RECEIVED] from Machine 0, Logical clock: 36, Queue length: 23
2025-03-05 13:34:50 - [RECEIVED] from Machine 0, Logical clock: 37, Queue length: 22
2025-03-05 13:34:51 - [RECEIVED] from Machine 0, Logical clock: 38, Queue length: 23
2025-03-05 13:34:52 - [RECEIVED] from Machine 0, Logical clock: 39, Queue length: 25
2025-03-05 13:34:53 - [RECEIVED] from Machine 0, Logical clock: 40, Queue length: 25
2025-03-05 13:34:54 - [RECEIVED] from Machine 0, Logical clock: 41, Queue length: 25
2025-03-05 13:34:55 - [RECEIVED] from Machine 0, Logical clock: 42, Queue length: 24
2025-03-05 13:34:56 - [RECEIVED] from Machine 0, Logical clock: 43, Queue length: 25
2025-03-05 13:34:57 - [RECEIVED] from Machine 0, Logical clock: 44, Queue length: 26
2025-03-05 13:34:58 - [RECEIVED] from Machine 0, Logical clock: 45, Queue length: 27
2025-03-05 13:34:59 - [RECEIVED] from Machine 0, Logical clock: 46, Queue length: 28
2025-03-05 13:35:00 - [RECEIVED] from Machine 0, Logical clock: 47, Queue length: 28
2025-03-05 13:35:01 - [RECEIVED] from Machine 0, Logical clock: 48, Queue length: 28
2025-03-05 13:35:02 - [RECEIVED] from Machine 0, Logical clock: 49, Queue length: 29
2025-03-05 13:35:03 - [RECEIVED] from Machine 0, Logical clock: 50, Queue length: 31
2025-03-05 13:35:04 - [RECEIVED] from Machine 0, Logical clock: 51, Queue length: 30
2025-03-05 13:35:06 - [RECEIVED] from Machine 0, Logical clock: 52, Queue length: 32
2025-03-05 13:35:07 - [RECEIVED] from Machine 0, Logical clock: 53, Queue length: 31
2025-03-05 13:35:08 - [RECEIVED] from Machine 0, Logical clock: 54, Queue length: 32
2025-03-05 13:35:09 - [RECEIVED] from Machine 0, Logical clock: 55, Queue length: 32
2025-03-05 13:35:10 - [RECEIVED] from Machine 0, Logical clock: 56, Queue length: 32
2025-03-05 13:35:11 - [RECEIVED] from Machine 0, Logical clock: 57, Queue length: 31
