2025-03-05 14:27:55 - [INIT] with clock rate 1 and peers ['localhost:50051', 'localhost:50052'], [1, 2]
2025-03-05 14:27:57 - [INTERNAL], Logical clock: 1
2025-03-05 14:27:58 - [RECEIVED] from Machine 1, Logical clock: 3, Queue length: 0
2025-03-05 14:27:59 - [RECEIVED] from Machine 1, Logical clock: 4, Queue length: 0
2025-03-05 14:28:00 - [RECEIVED] from Machine 1, Logical clock: 7, Queue length: 0
2025-03-05 14:28:01 - [RECEIVED] from Machine 1, Logical clock: 10, Queue length: 2
2025-03-05 14:28:02 - [RECEIVED] from Machine 2, Logical clock: 11, Queue length: 2
2025-03-05 14:28:03 - [RECEIVED] from Machine 1, Logical clock: 12, Queue length: 2
2025-03-05 14:28:04 - [RECEIVED] from Machine 1, Logical clock: 17, Queue length: 6
2025-03-05 14:28:05 - [RECEIVED] from Machine 1, Logical clock: 18, Queue length: 8
2025-03-05 14:28:06 - [RECEIVED] from Machine 1, Logical clock: 20, Queue length: 8
2025-03-05 14:28:07 - [RECEIVED] from Machine 1, Logical clock: 21, Queue length: 7
2025-03-05 14:28:08 - [RECEIVED] from Machine 1, Logical clock: 22, Queue length: 6
2025-03-05 14:28:10 - [RECEIVED] from Machine 1, Logical clock: 23, Queue length: 6
2025-03-05 14:28:11 - [RECEIVED] from Machine 2, Logical clock: 24, Queue length: 9
2025-03-05 14:28:12 - [RECEIVED] from Machine 1, Logical clock: 27, Queue length: 9
2025-03-05 14:28:13 - [RECEIVED] from Machine 2, Logical clock: 28, Queue length: 8
2025-03-05 14:28:14 - [RECEIVED] from Machine 1, Logical clock: 29, Queue length: 7
2025-03-05 14:28:15 - [RECEIVED] from Machine 1, Logical clock: 30, Queue length: 8
2025-03-05 14:28:16 - [RECEIVED] from Machine 1, Logical clock: 43, Queue length: 8
2025-03-05 14:28:17 - [RECEIVED] from Machine 1, Logical clock: 45, Queue length: 7
2025-03-05 14:28:18 - [RECEIVED] from Machine 1, Logical clock: 46, Queue length: 8
2025-03-05 14:28:19 - [RECEIVED] from Machine 1, Logical clock: 47, Queue length: 12
2025-03-05 14:28:20 - [RECEIVED] from Machine 1, Logical clock: 48, Queue length: 11
2025-03-05 14:28:21 - [RECEIVED] from Machine 1, Logical clock: 49, Queue length: 13
2025-03-05 14:28:22 - [RECEIVED] from Machine 2, Logical clock: 52, Queue length: 16
2025-03-05 14:28:23 - [RECEIVED] from Machine 1, Logical clock: 64, Queue length: 15
2025-03-05 14:28:24 - [RECEIVED] from Machine 1, Logical clock: 65, Queue length: 14
2025-03-05 14:28:25 - [RECEIVED] from Machine 1, Logical clock: 75, Queue length: 17
