timestamp,operation,logical_clock,queue_length
2025-03-05 13:10:43,SENT,0,0
2025-03-05 13:10:44,RECEIVED,2,0
2025-03-05 13:10:45,SENT,2,0
2025-03-05 13:10:46,SENT,3,0
2025-03-05 13:10:46,SENT,3,0
2025-03-05 13:10:47,RECEIVED,5,1
2025-03-05 13:10:48,RECEIVED,6,0
2025-03-05 13:10:49,RECEIVED,7,2
2025-03-05 13:10:50,RECEIVED,8,2
2025-03-05 13:10:51,RECEIVED,9,4
2025-03-05 13:10:52,RECEIVED,10,4
2025-03-05 13:10:53,RECEIVED,11,3
2025-03-05 13:10:54,RECEIVED,12,5
2025-03-05 13:10:55,RECEIVED,13,5
2025-03-05 13:10:56,RECEIVED,14,5
2025-03-05 13:10:57,RECEIVED,15,6
2025-03-05 13:10:58,RECEIVED,16,7
2025-03-05 13:10:59,RECEIVED,17,7
2025-03-05 13:11:00,RECEIVED,18,7
2025-03-05 13:11:02,RECEIVED,19,6
2025-03-05 13:11:03,RECEIVED,20,5
2025-03-05 13:11:04,RECEIVED,21,4
2025-03-05 13:11:05,RECEIVED,22,4
2025-03-05 13:11:06,RECEIVED,23,4
2025-03-05 13:11:07,RECEIVED,24,5
2025-03-05 13:11:08,RECEIVED,25,6
2025-03-05 13:11:09,RECEIVED,26,7
2025-03-05 13:11:10,RECEIVED,27,6
2025-03-05 13:11:11,RECEIVED,28,5
2025-03-05 13:11:12,RECEIVED,29,9
2025-03-05 13:11:13,RECEIVED,30,9
2025-03-05 13:11:14,RECEIVED,31,9
2025-03-05 13:11:15,RECEIVED,32,8
2025-03-05 13:11:16,RECEIVED,33,10
2025-03-05 13:11:17,RECEIVED,34,9
2025-03-05 13:11:18,RECEIVED,35,9
2025-03-05 13:11:19,RECEIVED,36,12
2025-03-05 13:11:20,RECEIVED,37,12
2025-03-05 13:11:21,RECEIVED,38,13
2025-03-05 13:11:22,RECEIVED,39,13
2025-03-05 13:11:23,RECEIVED,40,12
2025-03-05 13:11:24,RECEIVED,41,11
2025-03-05 13:11:25,RECEIVED,42,10
2025-03-05 13:11:26,RECEIVED,43,11
2025-03-05 13:11:27,RECEIVED,44,11
2025-03-05 13:11:28,RECEIVED,45,12
2025-03-05 13:11:29,RECEIVED,46,12
2025-03-05 13:11:30,RECEIVED,47,11
2025-03-05 13:11:31,RECEIVED,48,14
2025-03-05 13:11:32,RECEIVED,49,15
2025-03-05 13:11:33,RECEIVED,50,17
2025-03-05 13:11:35,RECEIVED,51,16
2025-03-05 13:11:36,RECEIVED,52,17
2025-03-05 13:11:37,RECEIVED,53,17
2025-03-05 13:11:38,RECEIVED,54,18
2025-03-05 13:11:39,RECEIVED,55,17
2025-03-05 13:11:40,RECEIVED,56,18
2025-03-05 13:11:41,RECEIVED,57,19
