2025-03-05 13:20:26 - [INIT] with clock rate 1 and peers ['localhost:50051', 'localhost:50052'], [1, 2]
2025-03-05 13:20:28 - [INTERNAL], Logical clock: 1
2025-03-05 13:20:29 - [INTERNAL], Logical clock: 2
2025-03-05 13:20:31 - [SENT] to Machine 2, Logical clock: 2
2025-03-05 13:20:32 - [SENT] to Machine 1, Logical clock: 3
2025-03-05 13:20:32 - [SENT] to Machine 2, Logical clock: 3
2025-03-05 13:20:33 - [INTERNAL], Logical clock: 5
2025-03-05 13:20:34 - [INTERNAL], Logical clock: 6
2025-03-05 13:20:35 - [INTERNAL], Logical clock: 7
2025-03-05 13:20:36 - [RECEIVED] from Machine 1, Logical clock: 8, Queue length: 2
2025-03-05 13:20:37 - [RECEIVED] from Machine 1, Logical clock: 9, Queue length: 1
2025-03-05 13:20:38 - [RECEIVED] from Machine 1, Logical clock: 10, Queue length: 3
2025-03-05 13:20:39 - [RECEIVED] from Machine 1, Logical clock: 11, Queue length: 2
2025-03-05 13:20:40 - [RECEIVED] from Machine 1, Logical clock: 12, Queue length: 1
2025-03-05 13:20:41 - [RECEIVED] from Machine 1, Logical clock: 13, Queue length: 3
2025-03-05 13:20:42 - [RECEIVED] from Machine 1, Logical clock: 14, Queue length: 5
2025-03-05 13:20:43 - [RECEIVED] from Machine 1, Logical clock: 15, Queue length: 6
2025-03-05 13:20:44 - [RECEIVED] from Machine 2, Logical clock: 16, Queue length: 11
2025-03-05 13:20:45 - [RECEIVED] from Machine 2, Logical clock: 17, Queue length: 10
2025-03-05 13:20:46 - [RECEIVED] from Machine 2, Logical clock: 18, Queue length: 13
2025-03-05 13:20:47 - [RECEIVED] from Machine 2, Logical clock: 19, Queue length: 12
2025-03-05 13:20:48 - [RECEIVED] from Machine 2, Logical clock: 20, Queue length: 14
2025-03-05 13:20:49 - [RECEIVED] from Machine 2, Logical clock: 21, Queue length: 16
2025-03-05 13:20:50 - [RECEIVED] from Machine 1, Logical clock: 22, Queue length: 15
2025-03-05 13:20:51 - [RECEIVED] from Machine 2, Logical clock: 23, Queue length: 16
2025-03-05 13:20:52 - [RECEIVED] from Machine 1, Logical clock: 24, Queue length: 18
2025-03-05 13:20:53 - [RECEIVED] from Machine 1, Logical clock: 25, Queue length: 17
2025-03-05 13:20:54 - [RECEIVED] from Machine 2, Logical clock: 26, Queue length: 19
2025-03-05 13:20:55 - [RECEIVED] from Machine 2, Logical clock: 27, Queue length: 18
2025-03-05 13:20:56 - [RECEIVED] from Machine 2, Logical clock: 28, Queue length: 17
2025-03-05 13:20:57 - [RECEIVED] from Machine 1, Logical clock: 29, Queue length: 18
2025-03-05 13:20:58 - [RECEIVED] from Machine 1, Logical clock: 30, Queue length: 17
2025-03-05 13:20:59 - [RECEIVED] from Machine 1, Logical clock: 31, Queue length: 16
2025-03-05 13:21:00 - [RECEIVED] from Machine 2, Logical clock: 32, Queue length: 15
2025-03-05 13:21:01 - [RECEIVED] from Machine 2, Logical clock: 33, Queue length: 16
2025-03-05 13:21:02 - [RECEIVED] from Machine 2, Logical clock: 34, Queue length: 17
2025-03-05 13:21:03 - [RECEIVED] from Machine 2, Logical clock: 35, Queue length: 17
2025-03-05 13:21:04 - [RECEIVED] from Machine 2, Logical clock: 36, Queue length: 16
2025-03-05 13:21:06 - [RECEIVED] from Machine 2, Logical clock: 37, Queue length: 16
2025-03-05 13:21:07 - [RECEIVED] from Machine 2, Logical clock: 38, Queue length: 15
2025-03-05 13:21:08 - [RECEIVED] from Machine 2, Logical clock: 39, Queue length: 14
2025-03-05 13:21:09 - [RECEIVED] from Machine 2, Logical clock: 40, Queue length: 13
2025-03-05 13:21:10 - [RECEIVED] from Machine 2, Logical clock: 41, Queue length: 12
2025-03-05 13:21:11 - [RECEIVED] from Machine 2, Logical clock: 42, Queue length: 11
2025-03-05 13:21:12 - [RECEIVED] from Machine 1, Logical clock: 43, Queue length: 10
2025-03-05 13:21:13 - [RECEIVED] from Machine 2, Logical clock: 44, Queue length: 9
2025-03-05 13:21:14 - [RECEIVED] from Machine 2, Logical clock: 45, Queue length: 9
2025-03-05 13:21:15 - [RECEIVED] from Machine 1, Logical clock: 46, Queue length: 11
2025-03-05 13:21:16 - [RECEIVED] from Machine 1, Logical clock: 47, Queue length: 13
2025-03-05 13:21:17 - [RECEIVED] from Machine 2, Logical clock: 48, Queue length: 12
2025-03-05 13:21:18 - [RECEIVED] from Machine 2, Logical clock: 49, Queue length: 12
2025-03-05 13:21:19 - [RECEIVED] from Machine 2, Logical clock: 50, Queue length: 11
2025-03-05 13:21:20 - [RECEIVED] from Machine 1, Logical clock: 51, Queue length: 10
2025-03-05 13:21:21 - [RECEIVED] from Machine 1, Logical clock: 52, Queue length: 10
2025-03-05 13:21:22 - [RECEIVED] from Machine 2, Logical clock: 53, Queue length: 9
2025-03-05 13:21:23 - [RECEIVED] from Machine 1, Logical clock: 54, Queue length: 10
2025-03-05 13:21:24 - [RECEIVED] from Machine 1, Logical clock: 55, Queue length: 9
2025-03-05 13:21:25 - [RECEIVED] from Machine 1, Logical clock: 56, Queue length: 11
2025-03-05 13:21:26 - [RECEIVED] from Machine 1, Logical clock: 57, Queue length: 11
