2025-03-04 02:03:09 - [INIT] with clock rate 1 and peers ['localhost:50051', 'localhost:50052'], [1, 2]
2025-03-04 02:03:12 - [SENT] to Machine 1, Logical clock: 0
2025-03-04 02:03:12 - [RECEIVED] from Machine 2, Logical clock: 2, Queue length: 0
2025-03-04 02:03:13 - [RECEIVED] from Machine 2, Logical clock: 6, Queue length: 5
2025-03-04 02:03:14 - [RECEIVED] from Machine 2, Logical clock: 7, Queue length: 10
2025-03-04 02:03:15 - [RECEIVED] from Machine 1, Logical clock: 8, Queue length: 12
2025-03-04 02:03:16 - [RECEIVED] from Machine 1, Logical clock: 9, Queue length: 14
2025-03-04 02:03:18 - [RECEIVED] from Machine 2, Logical clock: 10, Queue length: 15
2025-03-04 02:03:19 - [RECEIVED] from Machine 1, Logical clock: 11, Queue length: 17
2025-03-04 02:03:20 - [RECEIVED] from Machine 1, Logical clock: 12, Queue length: 20
2025-03-04 02:03:21 - [RECEIVED] from Machine 2, Logical clock: 13, Queue length: 22
2025-03-04 02:03:22 - [RECEIVED] from Machine 1, Logical clock: 14, Queue length: 28
2025-03-04 02:03:23 - [RECEIVED] from Machine 2, Logical clock: 15, Queue length: 31
2025-03-04 02:03:24 - [RECEIVED] from Machine 2, Logical clock: 16, Queue length: 32
2025-03-04 02:03:25 - [RECEIVED] from Machine 1, Logical clock: 17, Queue length: 34
2025-03-04 02:03:26 - [RECEIVED] from Machine 1, Logical clock: 18, Queue length: 37
2025-03-04 02:03:27 - [RECEIVED] from Machine 2, Logical clock: 19, Queue length: 41
2025-03-04 02:03:28 - [RECEIVED] from Machine 2, Logical clock: 20, Queue length: 42
2025-03-04 02:03:29 - [RECEIVED] from Machine 2, Logical clock: 21, Queue length: 47
2025-03-04 02:03:30 - [RECEIVED] from Machine 2, Logical clock: 22, Queue length: 54
2025-03-04 02:03:31 - [RECEIVED] from Machine 2, Logical clock: 23, Queue length: 56
2025-03-04 02:03:32 - [RECEIVED] from Machine 2, Logical clock: 24, Queue length: 60
2025-03-04 02:03:33 - [RECEIVED] from Machine 2, Logical clock: 25, Queue length: 68
2025-03-04 02:03:34 - [RECEIVED] from Machine 2, Logical clock: 26, Queue length: 70
2025-03-04 02:03:35 - [RECEIVED] from Machine 2, Logical clock: 27, Queue length: 76
2025-03-04 02:03:36 - [RECEIVED] from Machine 2, Logical clock: 28, Queue length: 81
2025-03-04 02:03:37 - [RECEIVED] from Machine 2, Logical clock: 29, Queue length: 84
2025-03-04 02:03:38 - [RECEIVED] from Machine 2, Logical clock: 30, Queue length: 85
2025-03-04 02:03:39 - [RECEIVED] from Machine 2, Logical clock: 31, Queue length: 86
2025-03-04 02:03:40 - [RECEIVED] from Machine 2, Logical clock: 32, Queue length: 88
2025-03-04 02:03:41 - [RECEIVED] from Machine 2, Logical clock: 33, Queue length: 89
2025-03-04 02:03:42 - [RECEIVED] from Machine 2, Logical clock: 34, Queue length: 93
2025-03-04 02:03:43 - [RECEIVED] from Machine 2, Logical clock: 35, Queue length: 96
2025-03-04 02:03:44 - [RECEIVED] from Machine 2, Logical clock: 36, Queue length: 99
2025-03-04 02:03:45 - [RECEIVED] from Machine 2, Logical clock: 37, Queue length: 100
2025-03-04 02:03:46 - [RECEIVED] from Machine 2, Logical clock: 38, Queue length: 102
2025-03-04 02:03:47 - [RECEIVED] from Machine 1, Logical clock: 39, Queue length: 107
2025-03-04 02:03:48 - [RECEIVED] from Machine 2, Logical clock: 40, Queue length: 109
2025-03-04 02:03:49 - [RECEIVED] from Machine 2, Logical clock: 41, Queue length: 115
2025-03-04 02:03:51 - [RECEIVED] from Machine 2, Logical clock: 42, Queue length: 118
2025-03-04 02:03:52 - [RECEIVED] from Machine 1, Logical clock: 43, Queue length: 119
2025-03-04 02:03:53 - [RECEIVED] from Machine 1, Logical clock: 44, Queue length: 122
2025-03-04 02:03:54 - [RECEIVED] from Machine 2, Logical clock: 45, Queue length: 125
2025-03-04 02:03:55 - [RECEIVED] from Machine 1, Logical clock: 46, Queue length: 125
2025-03-04 02:03:56 - [RECEIVED] from Machine 2, Logical clock: 47, Queue length: 126
2025-03-04 02:03:57 - [RECEIVED] from Machine 1, Logical clock: 48, Queue length: 129
2025-03-04 02:03:58 - [RECEIVED] from Machine 2, Logical clock: 49, Queue length: 130
2025-03-04 02:03:59 - [RECEIVED] from Machine 2, Logical clock: 50, Queue length: 132
2025-03-04 02:04:00 - [RECEIVED] from Machine 2, Logical clock: 51, Queue length: 138
2025-03-04 02:04:01 - [RECEIVED] from Machine 2, Logical clock: 54, Queue length: 143
2025-03-04 02:04:02 - [RECEIVED] from Machine 1, Logical clock: 55, Queue length: 150
2025-03-04 02:04:03 - [RECEIVED] from Machine 2, Logical clock: 56, Queue length: 153
2025-03-04 02:04:04 - [RECEIVED] from Machine 1, Logical clock: 57, Queue length: 154
2025-03-04 02:04:05 - [RECEIVED] from Machine 2, Logical clock: 58, Queue length: 157
2025-03-04 02:04:06 - [RECEIVED] from Machine 2, Logical clock: 59, Queue length: 159
2025-03-04 02:04:07 - [RECEIVED] from Machine 2, Logical clock: 61, Queue length: 161
2025-03-04 02:04:08 - [RECEIVED] from Machine 2, Logical clock: 62, Queue length: 166
2025-03-04 02:04:09 - [RECEIVED] from Machine 2, Logical clock: 63, Queue length: 171
